,Num,thre,Opt_p_cl(N_est),Opt_p_cl(Max_f),MCC(cl),Error(cl),Accur(cl),Opt_p_reg(N_est),Opt_p_reg(Max_f),MCC(reg.),Error(reg),Accur(reg)
139,20.0,7.0,300.0,512.0,0.4713266425924214,0.09722222222222222,0.9027777777777779,101.0,768.0,0.41966772529027346,0.1037037037037037,0.8962962962962964
140,21.0,7.0,500.0,768.0,0.5013229560090117,0.07407407407407407,0.9259259259259259,500.0,768.0,0.4571232377152629,0.0787037037037037,0.9212962962962962
141,22.0,7.0,101.0,512.0,0.6280696294686654,0.0712962962962963,0.9287037037037036,101.0,768.0,0.5159486078071094,0.08796296296296295,0.9120370370370372
142,23.0,7.0,500.0,768.0,0.6228119100845321,0.075,0.925,500.0,768.0,0.4524812415705112,0.1,0.9
143,24.0,7.0,300.0,768.0,0.501275962099443,0.09444444444444444,0.9055555555555556,101.0,768.0,0.3839158346807562,0.11018518518518519,0.8898148148148148
144,25.0,7.0,500.0,512.0,0.5385122163425334,0.09074074074074075,0.9092592592592593,500.0,768.0,0.47613229896033593,0.1,0.9
145,26.0,7.0,500.0,768.0,0.596090237871969,0.07407407407407407,0.9259259259259259,300.0,768.0,0.46179168308709395,0.09166666666666666,0.9083333333333334
146,27.0,7.0,500.0,768.0,0.47259199592106915,0.08425925925925924,0.9157407407407406,300.0,768.0,0.2684951824717209,0.1,0.9
147,28.0,7.0,300.0,768.0,0.616187180323075,0.06296296296296297,0.937037037037037,101.0,768.0,0.4359392616702945,0.08518518518518517,0.9148148148148147
148,29.0,7.0,500.0,768.0,0.6316686236224496,0.07407407407407407,0.9259259259259259,101.0,768.0,0.4486813296385357,0.1,0.9
149,30.0,7.0,300.0,768.0,0.5679166061865227,0.0861111111111111,0.913888888888889,500.0,768.0,0.3465956621029663,0.11574074074074074,0.8842592592592593
